accession,strain,file,organism
GCF_014698895.1,FACHB-1061,genomes/FACHB-1061_GCF_014698895.1.faa,Synechococcus elongatus FACHB-1061
GCF_014698415.1,FACHB-242,genomes/FACHB-242_GCF_014698415.1.faa,Synechococcus elongatus FACHB-242
GCF_036630065.1,IITB3,genomes/IITB3_GCF_036630065.1.faa,Synechococcus elongatus IITB3
GCF_036630075.1,IITB4,genomes/IITB4_GCF_036630075.1.faa,Synechococcus elongatus IITB4
GCF_036630115.1,IITB5,genomes/IITB5_GCF_036630115.1.faa,Synechococcus elongatus IITB5
GCF_036630085.1,IITB6,genomes/IITB6_GCF_036630085.1.faa,Synechococcus elongatus IITB6
GCF_036630095.1,IITB7,genomes/IITB7_GCF_036630095.1.faa,Synechococcus elongatus IITB7
GCF_036630105.1,IITB8,genomes/IITB8_GCF_036630105.1.faa,Synechococcus elongatus IITB8
GCF_050422935.1,M14.2,genomes/M14.2_GCF_050422935.1.faa,Synechococcus elongatus M14.2
GCF_003846445.2,PCC_11801,genomes/PCC_11801_GCF_003846445.2.faa,Synechococcus elongatus PCC 11801
GCF_009498715.2,PCC_11802,genomes/PCC_11802_GCF_009498715.2.faa,Synechococcus elongatus PCC 11802
GCF_022984195.1,PCC_6301,genomes/PCC_6301_GCF_022984195.1.faa,Synechococcus elongatus PCC 6301
GCF_000010065.1,PCC_6301,genomes/PCC_6301_GCF_000010065.1.faa,Synechococcus elongatus PCC 6301
GCF_022984265.1,PCC_6311,genomes/PCC_6311_GCF_022984265.1.faa,Synechococcus elongatus PCC 6311
GCF_000012525.1,PCC_7942,genomes/PCC_7942_GCF_000012525.1.faa,Synechococcus elongatus PCC 7942 = FACHB-805
GCF_014698905.1,FACHB-805,genomes/FACHB-805_GCF_014698905.1.faa,Synechococcus elongatus PCC 7942 = FACHB-805
GCF_030544905.1,UTEX_2434,genomes/UTEX_2434_GCF_030544905.1.faa,Synechococcus elongatus PCC 7942 = FACHB-805
GCF_022984345.1,PCC_7943,genomes/PCC_7943_GCF_022984345.1.faa,Synechococcus elongatus PCC 7943
GCF_000817325.1,UTEX_2973,genomes/UTEX_2973_GCF_000817325.1.faa,Synechococcus elongatus UTEX 2973
GCF_003957805.1,UTEX_3055,genomes/UTEX_3055_GCF_003957805.1.faa,Synechococcus elongatus UTEX 3055
